timestamp,mem_used_mib,mem_free_mib
1785460805.768420683,1805, 46594
1785460806.787656807,1805, 46594
1785460807.811101854,1805, 46594
1785460808.841847553,1805, 46594
1785460809.866835349,1805, 46594
1785460810.890606176,1805, 46594
1785460811.913781552,1805, 46594
1785460812.936304122,1805, 46594
1785460813.959757215,1805, 46594
1785460814.977011930,1805, 46594
1785460815.993885176,1805, 46594
1785460817.011669048,1805, 46594
1785460818.029642126,1805, 46594
1785460819.046729449,1805, 46594
1785460820.064390809,1857, 46542
1785460821.079554214,1857, 46542
1785460822.096139892,3265, 45134
1785460823.111358020,3297, 45102
1785460824.126479818,3329, 45070
1785460825.141515606,3361, 45038
1785460826.156717839,3393, 45006
1785460827.172806893,3425, 44974
1785460828.189033603,6977, 41422
1785460829.211626116,11265, 37134
1785460830.230638413,15681, 32718
1785460831.249487631,20545, 27854
1785460832.268690075,24993, 23406
1785460833.287736034,29345, 19054
1785460834.306220168,31035, 17364
1785460835.321733644,31035, 17364
1785460836.338045765,31035, 17364
1785460837.353758824,31035, 17364
1785460838.369111624,31323, 17076
1785460839.385162428,31333, 17066
1785460840.401213839,31333, 17066
1785460841.416866322,31365, 17034
1785460842.432362939,31365, 17034
1785460843.448219753,31365, 17034
1785460844.463545458,31365, 17034
1785460845.478937233,31365, 17034
1785460846.497983626,31365, 17034
1785460847.514734163,32807, 15592
1785460848.530283250,33415, 14984
1785460849.545544602,33415, 14984
1785460850.560904913,33479, 14920
1785460851.576267038,33479, 14920
1785460852.591670080,33543, 14856
1785460853.607007018,33543, 14856
1785460854.623364728,33575, 14824
1785460855.638832864,33607, 14792
1785460856.655912290,33607, 14792
1785460857.671455219,33639, 14760
1785460858.687023527,33639, 14760
1785460859.702592392,33639, 14760
1785460860.718088582,33639, 14760
1785460861.733742166,33639, 14760
1785460862.749528938,33639, 14760
1785460863.765180548,33671, 14728
1785460864.780730979,33703, 14696
1785460865.796752397,33703, 14696
1785460866.813232572,33703, 14696
1785460867.828316032,33703, 14696
1785460868.843863130,33703, 14696
1785460869.859078104,33735, 14664
1785460870.874804421,33767, 14632
1785460871.923957746,33767, 14632
1785460872.947853241,33767, 14632
1785460873.966886404,33767, 14632
1785460874.985463455,33767, 14632
1785460876.001536569,33799, 14600
1785460877.017202386,33831, 14568
1785460878.032949247,33831, 14568
1785460879.048903347,33831, 14568
1785460880.064401331,33831, 14568
1785460881.084646586,31879, 16520
1785460882.113465057,31879, 16520
1785460883.145363755,31879, 16520
1785460884.180666643,31879, 16520
1785460885.215345382,31879, 16520
1785460886.239424003,31879, 16520
1785460887.274135818,31879, 16520
1785460888.294301645,31879, 16520
1785460889.310817291,31879, 16520
1785460890.333093483,31879, 16520
1785460891.349822662,31879, 16520
1785460892.364686340,31879, 16520
1785460893.379564734,31879, 16520
1785460894.394926026,31879, 16520
1785460895.410605150,31879, 16520
1785460896.429954592,31879, 16520
1785460897.451897420,31879, 16520
1785460898.473301757,31879, 16520
1785460899.491892135,31879, 16520
1785460900.517092593,31879, 16520
1785460901.554856355,31879, 16520
1785460902.583872053,31879, 16520
1785460903.613839395,31879, 16520
1785460904.652659309,31879, 16520
1785460905.695773660,31879, 16520
1785460906.716304067,31879, 16520
1785460907.741259511,31879, 16520
1785460908.774167090,31879, 16520
1785460909.795383637,31879, 16520
1785460910.833338833,31879, 16520
1785460911.866587432,31879, 16520
1785460912.891245981,31879, 16520
1785460913.922084485,31879, 16520
1785460914.961189061,31879, 16520
1785460915.985291143,31879, 16520
1785460917.008640812,31879, 16520
1785460918.038812421,31879, 16520
1785460919.061595487,31879, 16520
1785460920.079707352,31879, 16520
1785460921.102915988,31879, 16520
1785460922.134330217,31879, 16520
1785460923.170726266,31879, 16520
1785460924.196161569,31879, 16520
1785460925.220446453,31879, 16520
1785460926.256945243,31879, 16520
1785460927.292741118,31879, 16520
1785460928.313569823,31879, 16520
1785460929.344248510,31879, 16520
1785460930.381094224,31879, 16520
1785460931.404309459,31879, 16520
1785460932.429813276,31879, 16520
1785460933.462579781,31879, 16520
1785460934.488073407,31879, 16520
1785460935.522862183,31879, 16520
1785460936.548252020,31879, 16520
1785460937.573107490,31879, 16520
1785460938.596897948,31879, 16520
1785460939.619186808,31879, 16520
1785460940.654530650,31879, 16520
1785460941.678919911,31879, 16520
1785460942.703969240,31879, 16520
1785460943.725278479,31879, 16520
1785460944.761838514,31879, 16520
1785460945.798329486,31879, 16520
1785460946.823419318,31879, 16520
1785460947.860109188,31879, 16520
1785460948.897633460,31879, 16520
1785460949.924854382,31879, 16520
1785460950.959961534,31879, 16520
1785460951.985302140,31879, 16520
1785460953.026913274,31879, 16520
1785460954.048608861,31879, 16520
1785460955.073470796,31879, 16520
1785460956.092434799,31879, 16520
1785460957.114667820,31879, 16520
1785460958.134015833,31879, 16520
1785460959.169165150,31879, 16520
1785460960.197522365,31879, 16520
1785460961.227657563,31879, 16520
1785460962.263520247,31879, 16520
1785460963.288671297,31879, 16520
1785460964.313919383,31879, 16520
1785460965.339630464,31879, 16520
1785460966.364287591,31879, 16520
1785460967.389786445,31879, 16520
1785460968.415224202,31879, 16520
1785460969.450662630,31879, 16520
1785460970.486279375,31879, 16520
1785460971.510237573,31879, 16520
1785460972.529193163,31879, 16520
1785460973.551999335,31879, 16520
1785460974.586704855,31879, 16520
1785460975.612552129,31879, 16520
