2026/07/30 19:05:11.002, 1641 MiB, 46758 MiB
2026/07/30 19:05:12.020, 1641 MiB, 46758 MiB
2026/07/30 19:05:13.067, 1641 MiB, 46758 MiB
2026/07/30 19:05:14.090, 1641 MiB, 46758 MiB
2026/07/30 19:05:15.134, 1641 MiB, 46758 MiB
2026/07/30 19:05:16.153, 1641 MiB, 46758 MiB
2026/07/30 19:05:17.201, 1641 MiB, 46758 MiB
2026/07/30 19:05:18.261, 1651 MiB, 46748 MiB
2026/07/30 19:05:19.365, 3231 MiB, 45168 MiB
2026/07/30 19:05:20.454, 3261 MiB, 45138 MiB
2026/07/30 19:05:21.689, 3293 MiB, 45106 MiB
2026/07/30 19:05:22.775, 3329 MiB, 45070 MiB
2026/07/30 19:05:23.866, 3351 MiB, 45048 MiB
2026/07/30 19:05:25.017, 3393 MiB, 45006 MiB
2026/07/30 19:05:26.085, 3413 MiB, 44986 MiB
2026/07/30 19:05:27.120, 6321 MiB, 42078 MiB
2026/07/30 19:05:28.137, 9117 MiB, 39282 MiB
2026/07/30 19:05:29.156, 11379 MiB, 37020 MiB
2026/07/30 19:05:30.181, 14025 MiB, 34374 MiB
2026/07/30 19:05:31.199, 16653 MiB, 31746 MiB
2026/07/30 19:05:32.217, 19235 MiB, 29164 MiB
2026/07/30 19:05:33.235, 21335 MiB, 27064 MiB
2026/07/30 19:05:34.253, 23909 MiB, 24490 MiB
2026/07/30 19:05:35.274, 26605 MiB, 21794 MiB
2026/07/30 19:05:36.315, 27583 MiB, 20816 MiB
2026/07/30 19:05:37.381, 27609 MiB, 20790 MiB
2026/07/30 19:05:38.396, 27609 MiB, 20790 MiB
2026/07/30 19:05:39.411, 27609 MiB, 20790 MiB
2026/07/30 19:05:40.426, 27609 MiB, 20790 MiB
2026/07/30 19:05:41.445, 27609 MiB, 20790 MiB
2026/07/30 19:05:42.465, 27609 MiB, 20790 MiB
2026/07/30 19:05:43.488, 27609 MiB, 20790 MiB
2026/07/30 19:05:44.513, 27609 MiB, 20790 MiB
2026/07/30 19:05:45.535, 27609 MiB, 20790 MiB
2026/07/30 19:05:46.552, 27609 MiB, 20790 MiB
2026/07/30 19:05:47.576, 27609 MiB, 20790 MiB
2026/07/30 19:05:48.596, 27609 MiB, 20790 MiB
2026/07/30 19:05:49.611, 27609 MiB, 20790 MiB
2026/07/30 19:05:50.627, 27609 MiB, 20790 MiB
2026/07/30 19:05:51.641, 27609 MiB, 20790 MiB
2026/07/30 19:05:52.656, 27609 MiB, 20790 MiB
2026/07/30 19:05:53.674, 27609 MiB, 20790 MiB
2026/07/30 19:05:54.692, 27609 MiB, 20790 MiB
2026/07/30 19:05:55.709, 27609 MiB, 20790 MiB
2026/07/30 19:05:56.727, 27609 MiB, 20790 MiB
2026/07/30 19:05:57.743, 28457 MiB, 19942 MiB
2026/07/30 19:05:58.763, 28893 MiB, 19506 MiB
2026/07/30 19:05:59.779, 28893 MiB, 19506 MiB
2026/07/30 19:06:00.799, 28893 MiB, 19506 MiB
2026/07/30 19:06:01.823, 28893 MiB, 19506 MiB
2026/07/30 19:06:02.847, 28893 MiB, 19506 MiB
2026/07/30 19:06:03.868, 28893 MiB, 19506 MiB
2026/07/30 19:06:04.890, 28893 MiB, 19506 MiB
2026/07/30 19:06:05.905, 28893 MiB, 19506 MiB
2026/07/30 19:06:06.921, 28893 MiB, 19506 MiB
2026/07/30 19:06:07.936, 28893 MiB, 19506 MiB
2026/07/30 19:06:08.951, 28893 MiB, 19506 MiB
2026/07/30 19:06:09.967, 28893 MiB, 19506 MiB
2026/07/30 19:06:10.983, 28893 MiB, 19506 MiB
2026/07/30 19:06:11.999, 28893 MiB, 19506 MiB
2026/07/30 19:06:13.015, 28893 MiB, 19506 MiB
2026/07/30 19:06:14.033, 28893 MiB, 19506 MiB
2026/07/30 19:06:15.048, 28893 MiB, 19506 MiB
2026/07/30 19:06:16.068, 28893 MiB, 19506 MiB
2026/07/30 19:06:17.106, 28893 MiB, 19506 MiB
2026/07/30 19:06:18.127, 29559 MiB, 18840 MiB
